hospital,counts,full_address,coordinates
Sta. Ana Hospital,6,"Santa Ana Hospital, 2692, New Panaderos, Punta, Barangay 879, Santa Ana, Sixth District, Manila, Metro Manila, 1009, Philippines","(14.58358825, 121.01644313089305)"
Amang Rodriguez Memorial Medical Center,6,"Amang Rodriguez Memorial Medical Center, Don Juan Sumulong, Santo Niño, Marikina, Metro Manila, 1800, Philippines","(14.636145249999998, 121.09845651491982)"
Quezon City General Hospital,6,"Quezon City General Hospital, Seminary Road, Villa Socorro Subdivision, Bahay Toro, Balingasa, 1st District, Quezon City, Metro Manila, 1106, Philippines","(14.66110335, 121.01815013408611)"
Dr. Jose N. Rodriguez Memorial Hospital,6,"Dr. Jose N. Rodriguez Memorial Hospital, St. Joseph Avenue, Nhc-tala Estate Subdivision, Sto. Nino Village, 186, Caloocan, Metro Manila, 1427, Philippines","(14.76667625, 121.06468840472849)"
Baguio General Hospital And Medical Center,6,"Baguio General Hospital & Medical Center, Kennon Road, Poliwes, Baguio City, Benguet, Cordillera Administrative Region, 2600, Philippines","(16.4011964, 120.59612393285582)"
Fe Del Mundo Medical Center,6,"Fe Del Mundo Medical Center, 11, Banawe, Doña Aurora, Galas, 4th District, Quezon City, Metro Manila, 1113, Philippines","(14.62060365, 121.0092301561046)"
Dr. Paulino J. Garcia Memorial Research And Medical Center,6,"Dr. Paulino J. Garcia Memorial Research and Medical Center, Gen Tinio Street, Melojavilla, Ciudad de Real, Cabanatuan, Nueva Ecija, Central Luzon, 3100, Philippines","(15.489462849999999, 120.97275970736415)"
"Providence Hospital, Quezon City",6,"Providence Hospital, Quezon Avenue, West Triangle, Quezon City, 1st District, Quezon City, Metro Manila, 1104, Philippines","(14.641224650000002, 121.03167331232544)"
De Los Santos Medical Center,5,"De Los Santos Medical Center, 201, E. Rodriguez Sr. Avenue, Damayang Lagi, Kalusugan, San Juan, 4th District, Quezon City, Metro Manila, 1113, Philippines","(14.6202997, 121.01777544027627)"
Northern Mindanao Medical Center,5,"Northern Mindanao Medical Center, Claro M. Recto, Licoan, Cagayan de Oro, Misamis Oriental, Northern Mindanao, 9000, Philippines","(8.48539205, 124.64963773057275)"
World Citi Medical Center,5,"World Citi Medical Center, Aurora Boulevard, Mangga, Cubao, 3rd District, Quezon City, Metro Manila, 1109, Philippines","(14.6270627, 121.063349)"
Medical Center Manila,5,"Medical Center Manila, General Luna Street, Barangay 676, Ermita, Fifth District, Manila, Metro Manila, 1000, Philippines","(14.58248, 120.98543971329903)"
Perpetual Succour Hospital Of Cebu,5,"Perpetual Succour Hospital, PSH Road, Gonzales Compound, Banilad Town Center, Cebu City, Cebu, Central Visayas, 6000, Philippines","(10.314682, 123.90047710369865)"
Jose B. Lingad Memorial Regional Hospital,4,"Jose B. Lingad Memorial Regional Hospital, MacArthur Highway, St. Dominic Corinthian Village, Sitio Makabakle, San Fernando, Pampanga, Central Luzon, 2000, Philippines","(15.0345719, 120.68463230116413)"
Commonwealth Hospital And Medical Center,4,"Commonwealth Hospital and Medical Center, Regalado Highway, Divine Graceville, Pasong Putik Proper, 5th District, Quezon City, Metro Manila, 1118, Philippines","(14.7316205, 121.06064807745423)"
Pasig City General Hospital,4,"Pasig City General Hospital, M. Eusebio Avenue, Interactive Packaging, Inc., Lexington Executive Village, Pasig, Metro Manila, 1606, Philippines","(14.57241745, 121.0992235915069)"
Cebu Doctors’ Hospital,4,"Cebu Doctors Hospital, Osmeña Boulevard, Sacred Village, Citilights Garden, Cebu City, Cebu, Central Visayas, 6000, Philippines","(10.31450495, 123.89196135018621)"
National Center For Mental Health,3,"National Center for Mental Health, Nueve de Febrero, Block 41 Zone 8, Mauway, Mandaluyong, Metro Manila, 1553, Philippines","(14.5816602, 121.04126559258651)"
Divine Grace Medical Center,3,"Divine Grace Medical Center, Centennial Road, Roya Village, Tejero, General Trias, Cavite, Calabarzon, 4107, Philippines","(14.39799105, 120.86812319957299)"
Amai Pakpak Medical Center,3,"Amai Pakpak Medical Center, Amai Pakpak Avenue, Marawi, Lanao del Sur, Bangsamoro Autonomous Region in Muslim Mindanao, 09700, Philippines","(8.004723649999999, 124.2835538892562)"
Las Piñas General Hospital & Satellite Trauma Center,3,"Las Piñas General Hospital & Satellite Trauma Center, P. Diego Cera Avenue, T.S. Sarino Village, Pulanglupa Uno, Las Piñas, 1st District, Las Piñas, Metro Manila, 1742, Philippines","(14.471623399999999, 120.97382207128115)"
Far Eastern University - Nicanor Reyes Medical Foundation,3,"Far Eastern University - Nicanor Reyes Medical Foundation, Regalado Avenue, Fairview, 5th District, Quezon City, Metro Manila, 1121, Philippines","(14.69890385, 121.06719218653689)"
Premiere Medical Center,3,"Premiere Medical Center, Maharlika Highway, Grand Victoria, Daan Sarile, Nueva Ecija, Central Luzon, 3100, Philippines","(15.5078809, 120.96710551519244)"
National Kidney And Transplant Institute,3,"National Kidney and Transplant Institute, East Avenue, East Triangle, Pinyahan, Quezon City, 4th District, Quezon City, Metro Manila, 1101, Philippines","(14.646848250000001, 121.04721757276744)"
Clinica Antipolo Hospital And Wellness Center,3,"Clinica Antipolo Hospital and Wellness Center, Sen. L Sumulong Memorial Circle, Taktak, Dela Paz, Rizal, Calabarzon, 1870, Philippines","(14.58957455, 121.16981656444958)"
Adventist Medical Center Manila,2,"Adventist Medical Center Manila, 1945, Donada, Barangay 36, Zone 3, Pasay, District 1, Pasay, Metro Manila, 1300, Philippines","(14.55602185, 120.9953013915066)"
QualiMed Hospital – Sta. Rosa,2,"QualiMed Hospital - Sta. Rosa, West Nature Avenue, Lakeside Evozone, Santo Domingo, Santa Rosa, Laguna, Calabarzon, 4026, Philippines","(14.232012600000001, 121.05271221787301)"
Bicol Regional Training And Teaching Hospital,2,"Bicol Regional Training and Teaching Hospital, Rizal Avenue, London, Sagpon Poblacion, Legazpi, Albay, Bicol, 4500, Philippines","(13.1467314, 123.72438469737428)"
Bataan Provincial Hospital,2,"Bataan Provincial Hospital, Manahan St., Bernabe Compound, Balanga, Bataan, Central Luzon, 2100, Philippines","(14.6783938, 120.5304345)"
"La Union Medical Center, Ilocos",2,"La Union Medical Center (LUMC), Manila North Road, Nazareno, La Union, Ilocos, 2504, Philippines","(16.3466222, 120.3635465)"
Ospital Ng Makati,2,"Ospital ng Makati, Sampaguita, Pembo, Makati 2nd District, Makati, Metro Manila, 1218, Philippines","(14.5463919, 121.06188753199831)"
Pasay City General Hospital,2,"Pasay City General Hospital, Padre Burgos, Barangay 60, Zone 7, District 2, Pasay, Metro Manila, 1304, Philippines","(14.549306300000001, 121.00093495)"
Jecsons Medical Center,2,"Jecsons Medical Center, MacArthur Highway, Blossomville Subdivision, Tarlac City, Tarlac, Central Luzon, 2300, Philippines","(15.49131475, 120.59732255)"
The Medical City Clark,2,"The Medical City Clark, Gatwick Gateway, Don Cornelio Subdivision, Mabalacat, Pampanga, Central Luzon, 2023, Philippines","(15.178496500000001, 120.57187128514028)"
Bicol Medical Center,2,"Bicol Medical Center, Hospital Loop Road, Naga City Subdivision, Naga, Camarines Sur, Bicol, 4400, Philippines","(13.622872, 123.1986884)"
The Medical City South Luzon,2,"The Medical City South Luzon, United Boulevard, Hacienda Sta. Elena, Don Jose, Santa Rosa, Laguna, Calabarzon, 4026, Philippines","(14.2485572, 121.06733294350212)"
Jose R. Reyes Memorial Medical Center,2,"Jose R. Reyes Memorial Medical Center, Rizal Avenue, Barangay 335, Santa Cruz, Third District, Manila, Metro Manila, 1942, Philippines","(14.6141758, 120.98190674771931)"
Pangasinan Provincial Hospital,2,"Pangasinan Provincial Hospital, Malabago Road, Doyong, Calasiao, Pangasinan, Ilocos, 2418, Philippines","(15.95430125, 120.34961424431083)"
City Of General Trias Doctors Medical Center,2,"City Of General Trias Doctors Medical Center, Governor's Drive, Gentri Heghts, Manggahan, General Trias, Cavite, Calabarzon, 4107, Philippines","(14.2912185, 120.90387619553523)"
The Medical City - Iloilo,2,"The Medical City Iloilo, Locsin Street, Villa Rosario Subdivision, Molo, Iloilo City, Iloilo, Western Visayas, 5000, Philippines","(10.699445650000001, 122.54310490024237)"
Adventist Medical Center - Bacolod,2,"Adventist Medical Center - Bacolod, C.V. Ramos Drive, Taculing Subdivision Phase II, Taculing, Negros Occidental, Western Visayas, 6100, Philippines","(10.6475459, 122.9494825529872)"
Victoriano Luna Medical Center,2,"Victoriano Luna Medical Center, Meralco, Malaya, Quezon City, 4th District, Quezon City, Metro Manila, 1101, Philippines","(14.6348313, 121.05251230824189)"
Chong Hua Hospital Mandaue,2,"Chong Hua Hospital Mandaue, Ouano Avenue, St. Martin Village, Buagsong, Mandaue, Cebu, Central Visayas, 6014, Philippines","(10.32275255, 123.931621267443)"
Dr. Pablo O. Torre Memorial Hospital,2,"Dr. Pablo O. Torre Memorial Hospital, 21st Street, Lacson Tourism Strip, Bacolod, Negros Occidental, Western Visayas, 6100, Philippines","(10.682507, 122.9581837)"
Nueva Ecija Doctors’ Hospital,2,"Nueva Ecija Doctors Hospital, Maharlika Highway, Shell Select, Primavera Homes, San Juan Accfa, Nueva Ecija, Central Luzon, 3100, Philippines","(15.4578272, 120.94883314561189)"
Tarlac Provincial Hospital,2,"Tarlac Provincial Hospital, West Fairlane, Fairlane Subd., Camp General Servillano S. Aquino, Tarlac City, Tarlac, Central Luzon, 2300, Philippines","(15.4746924, 120.58666689078329)"
Western Visayas Medical Center,2,"Western Visayas Medical Center, Q. Abeto St., Mandurriao, Iloilo City, Iloilo, Western Visayas, 5000, Philippines","(10.71881145, 122.54178735438887)"
Region II Trauma And Medical Center,2,"Veterans Regional Hospital, Maharlika Highway, Villa Natividad, Plt Homes, Nueva Vizcaya, Cagayan Valley, 3700, Philippines","(16.4829887, 121.13419633203547)"
Medical Center Taguig,2,"Medical Center Taguig, Pedro Cayetano Boulevard, Tomasa Estate Subdivision 2, Ususan, Taguig, Metro Manila, 1637, Philippines","(14.530921450000001, 121.0654288024109)"
Cotabato Regional And Medical Center,2,"Cotabato Regional & Medical Center, Sinsuat Avenue, Cotabato City, Maguindanao, Soccsksargen, 9600, Philippines","(7.1998768, 124.23662781401399)"
Ilocos Training And Regional Medical Center,2,"Ilocos Training and Regional Medical Center, Manila North Road, Sevilla, The Point Residences, San Fernando, La Union, Ilocos, 2500, Philippines","(16.591255949999997, 120.31824690186755)"
Unihealth Southwoods Hospital And Medical Center,2,"Unihealth Southwoods Hospital and Medical Center, Ecocentrum Avenue, Southwoods Ecocentrum, San Francisco, Biñan, Laguna, Calabarzon, 4024, Philippines","(14.33162575, 121.04759467589082)"
"Fatima University Medical Center, Valenzuela",1,"Fatima University Medical Center, MacArthur Highway, Doña Ata Subdivision, Lucas Subdivision, Valenzuela, Metro Manila, 0560, Philippines","(14.67805125, 120.98048652208914)"
Daniel O. Mercado Medical Center,1,"Daniel O. Mercado Medical Center, Jose P. Laurel Highway, Reaville Subd., Barangay 3, Tanauan, Batangas, Calabarzon, 4232, Philippines","(14.0796123, 121.15104948192382)"
Hospital of the Infant Jesus Adult and Children Hospital,1,"Hospital of the Infant Jesus Adult and Children Hospital, Laon Laan Street, Barangay 487, 4th District, Manila, Metro Manila, 1015, Philippines","(14.6141574, 120.98915723776119)"
Dagupan Doctors Villaflor Memorial Hospital,1,"Dagupan Doctors Villaflor Memorial Hospital, Calasiao - Dagupan, San Miguel, Calasiao, Pangasinan, Ilocos, 2418, Philippines","(16.037582, 120.3469252)"
Fatima University Medical Center,1,"Fatima University Medical Center, MacArthur Highway, Doña Ata Subdivision, Lucas Subdivision, Valenzuela, Metro Manila, 0560, Philippines","(14.67805125, 120.98048652208914)"
Binakayan Hospital And Medical Center,1,"Binakayan Hospital and Medical Center, Covelandia Road, Pulvorista, Kawit, Cavite, Calabarzon, 4102, Philippines","(14.4519604, 120.9260881)"
N.L. Villa Memorial Medical Center,1,"N.L. Villa Memorial Medical Center, F. Manalo Street, 8, Poblacion, Lipa, Batangas, Calabarzon, 4217, Philippines","(13.9387559, 121.1656174)"
Cornel Medical Center,1,"Cornel Medical Center, Marcos Highway, Masinag, Mayamot, San Isidro, Rizal, Calabarzon, 1870, Philippines","(14.6254435, 121.1222)"
Golden Gate General Hospital,1,"Golden Gate General Hospital, P. Prieto Street, 5, Poblacion, Batangas City, Batangas, Calabarzon, 4200, Philippines","(13.75746355, 121.06178834701583)"
University Of Cebu Medical Center,1,"University of Cebu Medical Center, Ouano Avenue, St. Martin Village, Buagsong, Mandaue, Cebu, Central Visayas, 6014, Philippines","(10.3206241, 123.93054115333915)"
Laguna Doctors' Hospital,1,"Laguna Doctors' Hospital, Pedro Guevarra Avenue, Barangay I, Santa Cruz, Laguna, Calabarzon, 4009, Philippines","(14.27479395, 121.4171340031392)"
Ospital Ng Muntinlupa,1,"Ospital ng Muntinlupa, Centennial Lane, Alabang, Muntinlupa, Metro Manila, 1781, Philippines","(14.41417515, 121.04418436546554)"
West Metro Medical Center,1,"West Metro Medical Center, Veterans Avenue Extension, Aurora Village, Layag-Layag, Zamboanga, Zamboanga City, Zamboanga Peninsula, 7000, Philippines","(6.9235050000000005, 122.079362252516)"
Tondo Medical Center,1,"Tondo Medical Center, Honorio Lopez Boulevard, San Rafael Village, Tondo, 1st District, Manila, Metro Manila, 1013, Philippines","(14.635116199999999, 120.96311693368294)"
Pasig Doctors Medical Center,1,"Pasig Doctors Medical Center, Tramo, Cruz-Robles, Manggahan, Pasig, Metro Manila, 1611, Philippines","(14.60097145, 121.09228884336243)"
Pampanga Premier Medical Center,1,"Pampanga Premier Medical Center, MacArthur Highway, Bagong Pag-asa Subdivision, Balangcas, Apalit, Pampanga, Central Luzon, 2016, Philippines","(14.96025805, 120.75937396446099)"
Binangonan Lakeview Hospital,1,"Binangonan Lakeview Hospital, Manila East Road, Sitio Sapa, Mabato, Tayuman, Rizal, Calabarzon, 1930, Philippines","(14.50253955, 121.17005965520835)"
Dasmariñas City Medical Center,1,"Dasmariñas City Medical Center, Paliparan Road, UPEHCO Subdivision, Salawag, Dasmariñas, Cavite, Calabarzon, 4114, Philippines","(14.3534213, 120.9815897)"
Our Lady Of Mt. Carmel Medical Center,1,"Our Lady of Mt. Carmel Medical Center, MacArthur Highway, Rich Town I Subdivision, Marlboro, Sindalan, Pampanga, Central Luzon, 2000, Philippines","(15.09639535, 120.62385982698073)"
Ospital Ng Maynila Medical Center,1,"Ospital ng Maynila Medical Center, 719, President Quirino Avenue, Malate, Fifth District, Manila, Metro Manila, 1004, Philippines","(14.563722250000001, 120.98617289165608)"
"St. Louis Hospital, Sultan Kudarat",1,"Saint Louis Hospital, Tacurong - Isulan National Highway, New Isabela, Purok Sampaguita, Tacurong, Sultan Kudarat, Soccsksargen, 9800, Philippines","(6.67852345, 124.66699554588106)"
Parañaque Doctors Hospital,1,"Parañaque Doctors' Hospital, Doña Soledad Avenue, Aeropark, Don Bosco, Parañaque, Metro Manila, 1711, Philippines","(14.485656899999999, 121.02867842425692)"
Gentri Medical Center And Hospital,1,"Gentri Medical Center and Hospital, Santusan, Sunshine Village, Manggahan, General Trias, Cavite, Calabarzon, 4107, Philippines","(14.28912985, 120.90685379291851)"
Laguna Medical Center,1,"Laguna Medical Center, J. de Leon, Barangay I, Patimbao, Santa Cruz, Laguna, Calabarzon, 4009, Philippines","(14.2755232, 121.41913745864971)"
Lucena United Doctors Hospital and Medical Center,1,"Lucena United Doctors Hospital and Medical Center, Old Manila South Road, Isabang, Quezon, Calabarzon, 4301, Philippines","(13.946984050000001, 121.58508706872695)"
Urdaneta Sacred Heart Hospital,1,"Urdaneta Sacred Heart Hospital, Manila North Road, Urdaneta, Pangasinan, Ilocos, 2428, Philippines","(15.9806495, 120.5705510953204)"
Quezon Medical Center,1,"Quezon Medical Center, Manuel Quezon Avenue, Alpsville 1, Lucena, Quezon, Calabarzon, 4301, Philippines","(13.942225749999999, 121.61252019744899)"
De La Salle University Medical Center,1,"De La Salle University Medical Center, Congressional Road, Burol Main, Dasmariñas, Cavite, Calabarzon, 4114, Philippines","(14.3296393, 120.94371052001567)"
Eastern Visayas Regional Medical Center,1,"Eastern Visayas Regional Medical Center, Maharlika Highway, Cabalawan, Ridgeview Park, Tacloban, Leyte, Eastern Visayas, 6500, Philippines","(11.28894, 124.9579409015796)"
Skyline Hospital And Medical Center,1,"Skyline Hospital and Medical Center, Skyline Road, Robes 3, Benjamin 3 Community Housing, Gumaok, Bulacan, Central Luzon, 3023, Philippines","(14.798411349999999, 121.07063788176313)"
Jesus of Nazareth Hospital,1,"Jesus of Nazareth Hospital, Dr. Ramon Road, Gulod Labac, Batangas City, Batangas, Calabarzon, 4200, Philippines","(13.7596952, 121.07689673232872)"
Medical Center Parañaque,1,"Medical Center Parañaque, Dr. Arcadio Santos Avenue, Mon-el Subdivision, San Antonio, Parañaque, Metro Manila, 1719, Philippines","(14.458432550000001, 121.03347205714093)"
Cavite Medical Center,1,"Cavite Medical Center, Manila-Cavite Road, Long Beach Village, Noveleta, Cavite, Calabarzon, 4100, Philippines","(14.463396, 120.8818959425312)"
Sacred Heart Hospital of Malolos,1,"Sacred Heart Hospital of Malolos, Dr. Peralta, Guinhawa Subdivision, Villa Tierra Subdivision, Malolos, Bulacan, Central Luzon, 3000, Philippines","(14.8522512, 120.81768247237855)"
Centro Medico De Santisimo Rosario Inc.,1,"Centro Medico De Santisimo Rosario Inc., Roman Superhighway, Camacho, Balanga, Bataan, Central Luzon, 2100, Philippines","(14.6728413, 120.52468237305014)"
Metro North Medical Center And Hospital,1,"Metro North Medical Center and Hospital, Mindanao Avenue, Mely Subdivision, Bahay Toro, 6th District, Quezon City, Metro Manila, 1106, Philippines","(14.66897935, 121.03373768242815)"
Southern Isabela General Hospital,1,"Southern Isabela General Hospital, Recto Street, Metro Ville Subdivision, Rosario, Isabela, Cagayan Valley, 3311, Philippines","(16.680094, 121.54669799009702)"
St. Clare’s Medical Center,1,"Saint Clare's Medical Center, Dian, Palanan, Makati, Makati 1st District, Makati, Metro Manila, 1235, Philippines","(14.562900549999998, 121.00122650407371)"
Our Lady Of The Pillar Medical Center,1,"Our Lady of the Pillar Medical Center, Tamsui Avenue, Treelane 2, Bayan Luma IV, Imus, Cavite, Calabarzon, 4103, Philippines","(14.4191702, 120.93924976550068)"
Region I Medical Center,1,"Region 1 Medical Center, Arellano, Dagupan, Pangasinan, Ilocos, 2400, Philippines","(16.0484357, 120.34096496993467)"
