df_Address,complete_address,province,latitudes,longitudes,counts
Clinica Antipolo hospital,"Clinica Antipolo, Sen. L Sumulong Memorial Circle, Taktak, Dela Paz, Rizal, Calabarzon, 1870, Philippines",Rizal,14.58957455,121.16981656444958,3
Commonwealth Hospital and Medical Center,"Commonwealth Hospital and Medical Center, Regalado Highway, Divine Graceville, Pasong Putik Proper, 5th District, Quezon City, Metro Manila, 1118, Philippines",Metropolitan Manila,14.7316205,121.06064807745423,2
Cornel Medical Center,"Cornel Medical Center, Marcos Highway, Masinag, Mayamot, San Isidro, Rizal, Calabarzon, 1870, Philippines",Rizal,14.6254435,121.1222,1
Cotabato Regional and Medical Center,"Cotabato Regional & Medical Center, Sinsuat Avenue, Cotabato City, Maguindanao, Soccsksargen, 9600, Philippines",Maguindanao,7.1998768,124.23662781401399,2
"DOH, Manila","DOH, Manila North Road, Sevilla, The Point Residences, San Fernando, La Union, Ilocos, 2500, Philippines",La Union,16.5905919,120.3193568,4
Dagupan Doctors Villaflor Memorial Hospital,"Dagupan Doctors Villaflor Memorial Hospital, Calasiao - Dagupan, San Miguel, Calasiao, Pangasinan, Ilocos, 2418, Philippines",Pangasinan,16.037582,120.3469252,1
Daniel O. Mercado Medical Center,"Daniel O. Mercado Medical Center, Jose P. Laurel Highway, Reaville Subd., Barangay 3, Tanauan, Batangas, Calabarzon, 4232, Philippines",Batangas,14.0796123,121.15104948192382,1
Dasmariñas City Medical Center,"Dasmariñas City Medical Center, Paliparan Road, UPEHCO Subdivision, Salawag, Dasmariñas, Cavite, Calabarzon, 4114, Philippines",Cavite,14.3534213,120.9815897,1
Davao Regional Medical Center,"Davao Regional Medical Center, DRH - EPark Road, Gemini Village, Apokon, Davao del Norte, Davao Region, 8100, Philippines",Davao del Norte,7.42072955,125.82878036991721,2
De La Salle University Medical Center,"De La Salle University Medical Center, Congressional Road, Burol Main, Dasmariñas, Cavite, Calabarzon, 4114, Philippines",Cavite,14.3296393,120.94371052001567,1
De Los Santos Medical Center,"De Los Santos Medical Center, 201, E. Rodriguez Sr. Avenue, Damayang Lagi, Kalusugan, San Juan, 4th District, Quezon City, Metro Manila, 1113, Philippines",Metropolitan Manila,14.6202997,121.01777544027627,4
Diliman Doctors Hospital,"Diliman Doctors Hospital, 251, Commonwealth Avenue, Premiere Court, Matandang Balara, 3rd District, Quezon City, Metro Manila, 1119, Philippines",Metropolitan Manila,14.66820725,121.076109265676,5
Divine Grace Medical Center,"Divine Grace Medical Center, Centennial Road, Roya Village, Tejero, General Trias, Cavite, Calabarzon, 4107, Philippines",Cavite,14.39799105,120.86812319957299,2
Divine Mercy Wellness Center,"Divine Mercy Wellness Center, Del Rosario Street, Tuguegarao, Cagayan, Cagayan Valley, 3500, Philippines",Cagayan,17.61082175,121.72707002554546,1
Dr. Damian Reyes Provincial Hospital,"Dr. Damian Reyes Provincial Hospital, Marinduque Circumferential Road, Capala, Tabi, Boac, Marinduque, Mimaropa, 4900, Philippines",Marinduque,13.44333145,121.82848065432466,1
Dr. Jose N. Rodriguez Memorial Hospital,"Dr. Jose N. Rodriguez Memorial Hospital, St. Joseph Avenue, Nhc-tala Estate Subdivision, Sto. Nino Village, 186, Caloocan, Metro Manila, 1427, Philippines",Metropolitan Manila,14.76667625,121.06468840472849,3
Dr. Paulino J. Garcia Memorial Research and Medical Center,"Dr. Paulino J. Garcia Memorial Research and Medical Center, Gen Tinio Street, Melojavilla, Ciudad de Real, Cabanatuan, Nueva Ecija, Central Luzon, 3100, Philippines",Nueva Ecija,15.489462849999999,120.97275970736415,4
East Avenue Medical Center,"East Avenue Medical Center, East Avenue, East Triangle, Pinyahan, Quezon City, 4th District, Quezon City, Metro Manila, 1100, Philippines",Metropolitan Manila,14.6419083,121.04793075343855,8
Eastern Visayas Regional Medical Center,"Eastern Visayas Regional Medical Center, Maharlika Highway, Cabalawan, Ridgeview Park, Tacloban, Leyte, Eastern Visayas, 6500, Philippines",Leyte,11.28894,124.9579409015796,1
Far Eastern University - Nicanor Reyes Medical Foundation,"Far Eastern University - Nicanor Reyes Medical Foundation, Regalado Avenue, Fairview, 5th District, Quezon City, Metro Manila, 1121, Philippines",Metropolitan Manila,14.69890385,121.06719218653689,3
Fatima University Medical Center,"Fatima University Medical Center, MacArthur Highway, Doña Ata Subdivision, Lucas Subdivision, Valenzuela, Metro Manila, 0560, Philippines",Metropolitan Manila,14.67805125,120.98048652208914,2
Fe Del Mundo Medical Center,"Fe Del Mundo Medical Center, 11, Banawe, Doña Aurora, Galas, 4th District, Quezon City, Metro Manila, 1113, Philippines",Metropolitan Manila,14.62060365,121.0092301561046,3
Gentri Medical Center and Hospital,"Gentri Medical Center and Hospital, Santusan, Sunshine Village, Manggahan, General Trias, Cavite, Calabarzon, 4107, Philippines",Cavite,14.28912985,120.90685379291851,1
Gerona Hospital of Sacred Heart,"Gerona Hospital of the Sacred Heart, Gerona - Pura Road, Singat, Tarlac, Central Luzon, 2302, Philippines",Tarlac,15.6085847,120.60561125193583,1
Golden Gate General Hospital,"Golden Gate General Hospital, P. Prieto Street, 5, Poblacion, Batangas City, Batangas, Calabarzon, 4200, Philippines",Batangas,13.75746355,121.06178834701583,1
"Health Dept., Quezon City","Health Dept., Makatarungan, Central, Quezon City, 4th District, Quezon City, Metro Manila, 1100, Philippines",Metropolitan Manila,14.64610395,121.05234535,2
Hospital of the Infant Jesus Medical Center,"Hospital of the Infant Jesus Medical Center, Laon Laan Street, Sampaloc, 4th District, Manila, Metro Manila, 1015, Philippines",Metropolitan Manila,14.614006150000002,120.98905680835242,1
Ilocos Training and Regional Medical Center,"Ilocos Training and Regional Medical Center, Manila North Road, Sevilla, The Point Residences, San Fernando, La Union, Ilocos, 2500, Philippines",La Union,16.591255949999997,120.31824690186755,2
Jesus of Nazareth Hospital Batangas,"Jesus of Nazareth Hospital, Dr. Ramon Road, Gulod Labac, Batangas City, Batangas, Calabarzon, 4200, Philippines",Batangas,13.7596952,121.07689673232872,1
Jose B. Lingad Memorial Regional Hospital,"Jose B. Lingad Memorial Regional Hospital, MacArthur Highway, St. Dominic Corinthian Village, Sitio Makabakle, San Fernando, Pampanga, Central Luzon, 2000, Philippines",Pampanga,15.0345719,120.68463230116413,6
"La Union Medical Center, Philippines","La Union Medical Center (LUMC), Manila North Road, Nazareno, La Union, Ilocos, 2504, Philippines",La Union,16.3466222,120.3635465,2
Laguna Doctors Hospital,"Laguna Doctors' Hospital, Pedro Guevarra Avenue, Barangay I, Santa Cruz, Laguna, Calabarzon, 4009, Philippines",Laguna,14.27479395,121.4171340031392,1
Laguna Medical Center,"Laguna Medical Center, J. de Leon, Barangay I, Patimbao, Santa Cruz, Laguna, Calabarzon, 4009, Philippines",Laguna,14.2755232,121.41913745864971,1
Las Piñas City Health Office,"Las Piñas City Health Office, F. Ocampo Avenue, Dona Manuela Phase IV-D, Pamplona Tres, Las Piñas, 1st District, Las Piñas, Metro Manila, 1242, Philippines",Metropolitan Manila,14.450330050000002,120.98289793395631,3
Las Piñas Doctors Hospital,"Las Piñas Doctors Hospital, CAA Avenue, Belisario, Pulanglupa Dos, Las Piñas, 1st District, Las Piñas, Metro Manila, 1742, Philippines",Metropolitan Manila,14.455615300000002,120.99371706729627,1
Las Piñas General Hospital and Satellite Trauma Center,"Las Piñas General Hospital & Satellite Trauma Center, P. Diego Cera Avenue, T.S. Sarino Village, Pulanglupa Uno, Las Piñas, 1st District, Las Piñas, Metro Manila, 1742, Philippines",Metropolitan Manila,14.471623399999999,120.97382207128115,3
Lucena United General Doctors,"Lucena United Doctors General Hospital, Old Manila South Road, Isabang, Quezon, Calabarzon, 4301, Philippines",Quezon,13.946984050000001,121.58508706872695,1
Lung Center of the Philippines,"Lung Center of the Philippines, Quezon Avenue, East Triangle, Pinyahan, Quezon City, 4th District, Quezon City, Metro Manila, 1100, Philippines",Metropolitan Manila,14.64748145,121.04587919677965,24
Makati City Hall Building 1,"Makati City Hall Building 1, J. P. Rizal, Coronado Bliss Housing Project, Poblacion, Valenzuela, Makati 1st District, Makati, Metro Manila, 1210, Philippines",Metropolitan Manila,14.57045885,121.02721221179675,2
Makati Medical Center,"Makati Medical Center, Amorsolo, Legazpi, San Lorenzo, Makati, Makati 1st District, Makati, Metro Manila, 1229, Philippines",Metropolitan Manila,14.5593106,121.01480235528001,48
Mandaluyong City Medical Center,"Mandaluyong City Medical Center, Boni Avenue, City Hall Complex, Plainview, Mandaluyong, Metro Manila, 1551, Philippines",Metropolitan Manila,14.576249350000001,121.03549848726468,5
Manila Doctors Hospital,"Manila Doctors Hospital, Kalaw Avenue, Ermita, Fifth District, Manila, Metro Manila, 1000, Philippines",Metropolitan Manila,14.58219355,120.98289979408534,21
Marikina City Health Office,"Marikina City Health Office, Cirma, Santo Niño, Marikina, Metro Manila, 1800, Philippines",Metropolitan Manila,14.6362541,121.09768297483511,2
Marikina Valley Medical Center,"Marikina Valley Medical Center, Sumulong Highway, Santo Niño, Marikina, Rizal, Metro Manila, 1900, Philippines",Metropolitan Manila,14.6349616,121.1039083943592,5
Medical Center Manila,"Medical Center Manila, General Luna Street, Barangay 676, Ermita, Fifth District, Manila, Metro Manila, 1000, Philippines",Metropolitan Manila,14.58248,120.98543971329903,4
Medical Center Parañaque,"Medical Center Parañaque, Dr. Arcadio Santos Avenue, Mon-el Subdivision, San Antonio, Parañaque, Metro Manila, 1719, Philippines",Metropolitan Manila,14.458432550000001,121.03347205714093,1
Medical Center Taguig,"Medical Center Taguig, Pedro Cayetano Boulevard, Tomasa Estate Subdivision 2, Ususan, Taguig, Metro Manila, 1637, Philippines",Metropolitan Manila,14.530921450000001,121.0654288024109,2
Metro North Medical Center and Hospital,"Metro North Medical Center and Hospital, Mindanao Avenue, Mely Subdivision, Bahay Toro, 6th District, Quezon City, Metro Manila, 1106, Philippines",Metropolitan Manila,14.66897935,121.03373768242815,1
"Metropolitan Medical Center, Philippines","Metropolitan Medical Center, Mayhaligue, San Barbara, Tondo, 2nd District, Manila, Metro Manila, 1003, Philippines",Metropolitan Manila,14.609395,120.9784765,7
National Center for Mental Health,"National Center for Mental Health, Nueve de Febrero, Block 41 Zone 8, Mauway, Mandaluyong, Metro Manila, 1553, Philippines",Metropolitan Manila,14.5816602,121.04126559258651,1
National Kidney and Transplant Institute,"National Kidney and Transplant Institute, East Avenue, East Triangle, Pinyahan, Quezon City, 4th District, Quezon City, Metro Manila, 1101, Philippines",Metropolitan Manila,14.646848250000001,121.04721757276744,2
New Era General Hospital,"New Era General Hospital, Commonwealth Avenue Bus/PUJ, New Era, 6th District, Quezon City, Metro Manila, 1107, Philippines",Metropolitan Manila,14.66416375,121.06671201971747,5
New Sinai MDI Hospital,"New Sinai MDI Hospital, National Highway, Tagapo, Platero, Biñan, Laguna, Calabarzon, 4026, Philippines",Laguna,14.31764895,121.09872571949757,1
Northern Mindanao Medical Center,"Northern Mindanao Medical Center, Claro M. Recto, Licoan, Barangay 27, Cagayan De Oro, Misamis Oriental, Northern Mindanao, 9000, Philippines",Misamis Oriental,8.48539205,124.64963773057275,4
Nueva Ecija Doctors Hospital,"Nueva Ecija Doctors Hospital, Maharlika Highway, Shell Select, Primavera Homes, San Juan Accfa, Nueva Ecija, Central Luzon, 3100, Philippines",Nueva Ecija,15.4578272,120.94883314561189,2
Olivarez General Hospital,"Olivarez General Hospital, Dr. Arcadio Santos Avenue, San Dionisio, Parañaque, Metro Manila, 1744, Philippines",Metropolitan Manila,14.479285650000001,120.99684911682407,2
Ospital Ng Palawan,"Ospital ng Palawan, 220, Malvar Street, Bagong Sikat, Puerto Princesa, Palawan, Mimaropa, 5300, Philippines",Palawan,9.747911850000001,118.74447483551802,1
Ospital ng Makati,"Ospital ng Makati, Sampaguita, Pembo, Makati 2nd District, Makati, Metro Manila, 1218, Philippines",Metropolitan Manila,14.5463919,121.06188753199831,2
Ospital ng Parañaque,"Ospital ng Parañaque, Quirino Avenue, Lim Cpompound, San Dionisio, Parañaque, Metro Manila, 1701, Philippines",Metropolitan Manila,14.500423699999999,120.99114114421985,2
"Our Lady of Lourdes Hospital, Manila","Our Lady of Lourdes Hospital, Sanchez, Illumina Residences Manila, Santa Mesa, Sixth District, Manila, Metro Manila, 1016, Philippines",Metropolitan Manila,14.595017649999999,121.02244418095599,7
Our Lady of Mt. Carmel Medical Center,"Our Lady of Mt. Carmel Medical Center, MacArthur Highway, Rich Town I Subdivision, Marlboro, Sindalan, Pampanga, Central Luzon, 2000, Philippines",Pampanga,15.09639535,120.62385982698073,1
Our Lady of the Pillar Medical Center,"Our Lady of the Pillar Medical Center, Tamsui Avenue, Treelane 2, Bayan Luma IV, Imus, Cavite, Calabarzon, 4103, Philippines",Cavite,14.4191702,120.93924976550068,1
Pampanga Premier Medical Center,"Pampanga Premier Medical Center, MacArthur Highway, Bagong Pag-asa Subdivision, Balangcas, Apalit, Pampanga, Central Luzon, 2016, Philippines",Pampanga,14.96025805,120.75937396446099,1
Pangasinan Provincial Hospital,"Pangasinan Provincial Hospital, Malabago Road, Doyong, Calasiao, Pangasinan, Ilocos, 2418, Philippines",Pangasinan,15.95430125,120.34961424431083,2
Parañaque Doctors' Hospital,"Parañaque Doctors' Hospital, Doña Soledad Avenue, Aeropark, Don Bosco, Parañaque, Metro Manila, 1711, Philippines",Metropolitan Manila,14.485656899999999,121.02867842425692,1
Pasig City General Hospital,"Pasig City General Hospital, M. Eusebio Avenue, Interactive Packaging, Inc., Lexington Executive Village, Pasig, Metro Manila, 1606, Philippines",Metropolitan Manila,14.57241745,121.0992235915069,1
Pasig Doctors Medical Center,"Pasig Doctors Medical Center, Tramo, Cruz-Robles, Manggahan, Pasig, Metro Manila, 1611, Philippines",Metropolitan Manila,14.60097145,121.09228884336243,1
Perpetual Help Medical Center - Biñan,"Perpetual Help Medical Center - Biñan, National Highway, South Springville, San Antonio, Biñan, Laguna, Calabarzon, 4024, Philippines",Laguna,14.33043835,121.08533919092724,2
"Perpetual Succor Hospital, Manila","Perpetual Succor Maternity Hospital, Florentino Cayco Street, Royal Plaza, Sampaloc, 4th District, Manila, Metro Manila, 1008, Philippines",Metropolitan Manila,14.6080998,120.9923296,1
Philippine General Hospital,"Philippine General Hospital, Apacible, Barangay 676, Ermita, Fifth District, Manila, Metro Manila, 1000, Philippines",Metropolitan Manila,14.5780333,120.9855392067257,5
Philippine Heart Center,"Philippine Heart Center, East Avenue, East Triangle, Pinyahan, Quezon City, 4th District, Quezon City, Metro Manila, 1100, Philippines",Metropolitan Manila,14.64403855,121.04842725955206,9
President Ramon Magsaysay Memorial Hospital,"President Ramon Magsaysay Memorial Hospital, Botolan - Iba, Zambales, Central Luzon, Philippines",Zambales,15.315261849999999,119.99121869076245,1
"Providence Hospital, Quezon City","Providence Hospital, Quezon Avenue, West Triangle, Quezon City, 1st District, Quezon City, Metro Manila, 1104, Philippines",Metropolitan Manila,14.641224650000002,121.03167331232544,2
QualiMed Hospital Nuvali,"QualiMed Hospital Nuvali, West Nature Avenue, Lakeside Evozone, Santo Domingo, Santa Rosa, Laguna, Calabarzon, 4026, Philippines",Laguna,14.232012600000001,121.05271221787301,1
Quezon City General Hospital,"Quezon City General Hospital, Seminary Road, Villa Socorro Subdivision, Bahay Toro, Balingasa, 1st District, Quezon City, Metro Manila, 1106, Philippines",Metropolitan Manila,14.66110335,121.01815013408611,3
Quezon Medical Center,"Quezon Medical Center, Manuel Quezon Avenue, Alpsville 1, Lucena, Quezon, Calabarzon, 4301, Philippines",Quezon,13.942225749999999,121.61252019744899,2
Quirino Memorial Medical Center,"Quirino Memorial Medical Center, Katipunan Avenue, Escopa II, Project 4, 3rd District, Quezon City, Metro Manila, 1109, Philippines",Metropolitan Manila,14.6225632,121.07266242678826,5
Region 1 Medical Center,"Region 1 Medical Center, Arellano, Dagupan, Pangasinan, Ilocos, 2400, Philippines",Pangasinan,16.0484357,120.34096496993467,1
Region II Trauma and Medical Center,"Veterans Regional Hospital, Maharlika Highway, Villa Natividad, Plt Homes, Nueva Vizcaya, Cagayan Valley, 3700, Philippines",Nueva Vizcaya,16.4829887,121.13419633203547,1
Research Institute for Tropical Medicine,"Research Institute for Tropical Medicine, Corporate Woods Avenue, Alabang, Muntinlupa, Metro Manila, 1781, Philippines",Metropolitan Manila,14.41000685,121.03714354240603,20
Riverside Medical Arts Building,"Riverside Medical Arts Building, 21st Street, Lacson Tourism Strip, Bacolod, Negros Occidental, Western Visayas, 6100, Philippines",Negros Occidental,10.682562650000001,122.95814629723391,2
Rizal Medical Center,"Rizal Medical Center, 425, Pasig Boulevard, Green Valley Subdivision, Bagong Ilog, Pasig, Metro Manila, 1215, Philippines",Metropolitan Manila,14.563910700000001,121.06612846687781,9
Rosario Maclang Bautista General Hospital,"Rosario Maclang Bautista General Hospital, IBP Road, Batasan Hills, 2nd District, Quezon City, Metro Manila, 1126, Philippines",Metropolitan Manila,14.686020899999999,121.08941610806676,2
Roxas Memorial Provincial Hospital,"Roxas Memorial Provincial Hospital, Iloilo-Capiz Road, Martelino Subdivision, Punta Cogon, Roxas City, Capiz, Western Visayas, 5800, Philippines",Capiz,11.588057,122.7526823,1
Sacred Heart Hospital of Malolos,"Sacred Heart Hospital of Malolos, Dr. Peralta, Guinhawa Subdivision, Villa Tierra Subdivision, Malolos, Bulacan, Central Luzon, 3000, Philippines",Bulacan,14.8522512,120.81768247237855,1
San Juan Medical Center,"San Juan Medical Center, N. Domingo, Pipeline, Rivera, San Juan, 1st District, San Juan, Metro Manila, 1500, Philippines",Metropolitan Manila,14.6065287,121.02349541622945,4
"San Lazaro Hospital, Manila","San Lazaro Hospital, Quiricada Street, Barangay 325, Santa Cruz, Third District, Manila, Metro Manila, 1003, Philippines",Metropolitan Manila,14.614117,120.98058146200714,17
San Pedro Calungsod Medical Center,"San Pedro Calungsod Medical Center, Kalayaan Road, Batong Dalig, Kawit, Cavite, Calabarzon, 4104, Philippines",Cavite,14.4277236,120.89480224426734,2
San Pedro Doctors Hospital,"San Pedro Doctor's Hospital, National Highway, Purok 6, Landayan, San Pedro, Laguna, Calabarzon, 4023, Philippines",Laguna,14.3488642,121.0649328,1
Southern Isabela General Hospital,"Southern Isabela General Hospital, Recto Street, Metro Ville Subdivision, Rosario, Isabela, Cagayan Valley, 3311, Philippines",Isabela,16.680094,121.54669799009702,1
Southern Philippines Medical Center,"Southern Philippines Medical Center, J. P. Laurel Avenue, De Jesus Subdivision, Vita Residences, Davao City, Davao Region, 8000, Philippines",Davao del Sur,7.09978495,125.61950634691405,5
St. Clare's Medical Center,"Saint Clare's Medical Center, Dian, Palanan, Makati, Makati 1st District, Makati, Metro Manila, 1235, Philippines",Metropolitan Manila,14.562900549999998,121.00122650407371,1
"St. Louis Hospital, Sultan Kudarat","Saint Louis Hospital, Tacurong - Isulan National Highway, New Isabela, Purok Sampaguita, Tacurong, Sultan Kudarat, Soccsksargen, 9800, Philippines",Sultan Kudarat,6.67852345,124.66699554588106,1
St. Luke's Medical Center - Global City,"St. Luke's Medical Center Global City, 32nd Street, Fort Bonifacio, Taguig, Metro Manila, 1634, Philippines",Metropolitan Manila,14.555140900000001,121.04813809093798,72
St. Luke's Medical Center - Quezon City,"St. Luke's Medical Center Quezon City, 279, E. Rodriguez Sr. Avenue, Damayang Lagi, Kalusugan, San Juan, 4th District, Quezon City, Metro Manila, 1112, Philippines",Metropolitan Manila,14.6230026,121.0231956,60
Sta. Ana Hospital,"Santa Ana Hospital, 2692, New Panaderos, Punta, Barangay 879, Santa Ana, Sixth District, Manila, Metro Manila, 1009, Philippines",Metropolitan Manila,14.58358825,121.01644313089305,5
Tarlac provincial Hospital,"Tarlac Provincial Hospital, West Fairlane, Fairlane Subd., Camp General Servillano S. Aquino, Tarlac City, Tarlac, Central Luzon, 2300, Philippines",Tarlac,15.4746924,120.58666689078329,1
The Medical City - Clark,"The Medical City Clark, Gatwick Gateway, Don Cornelio Subdivision, Mabalacat, Pampanga, Central Luzon, 2023, Philippines",Pampanga,15.178496500000001,120.57187128514028,2
The Medical City - Iloilo,"The Medical City Iloilo, Locsin Street, Villa Rosario Subdivision, Molo, Iloilo City, Iloilo, Western Visayas, 5000, Philippines",Iloilo,10.699445650000001,122.54310490024237,2
The Medical City - Ortigas,"The Medical City, Ortigas Avenue, Ugong, Pasig, Metro Manila, 1604, Philippines",Metropolitan Manila,14.589964,121.06906339610711,57
The Medical City - South Luzon,"The Medical City South Luzon, United Boulevard, Hacienda Sta. Elena, Don Jose, Santa Rosa, Laguna, Calabarzon, 4026, Philippines",Laguna,14.2485572,121.06733294350212,2
UniHealth Southwoods Hospital And Medical Center,"Unihealth Southwoods Hospital and Medical Center, Ecocentrum Avenue, Southwoods Ecocentrum, San Francisco, Biñan, Laguna, Calabarzon, 4024, Philippines",Laguna,14.33162575,121.04759467589082,1
University of Santo Tomas Hospital,"University of Santo Tomas Hospital, Arsenio H. Lacson Avenue, Barangay 470, Sampaloc, 4th District, Manila, Metro Manila, 1015, Philippines",Metropolitan Manila,14.6112963,120.99019493100002,10
University of the East Ramon Magsaysay Memorial Medical Center,"University of the East - Ramon Magsaysay Memorial Medical Center, Aurora Boulevard, Pipeline, Doña Imelda, Galas, 4th District, Quezon City, Metro Manila, 1016, Philippines",Metropolitan Manila,14.6066064,121.02067860955255,19
Urdaneta Sacred Heart Hospital,"Urdaneta Sacred Heart Hospital, Manila North Road, Urdaneta, Pangasinan, Ilocos, 2428, Philippines",Pangasinan,15.9806495,120.5705510953204,1
Valenzuela Medical Center,"Valenzuela Medical Center, Padrigal, Milestone Executive Homes, Lucas Subdivision, Valenzuela, Metro Manila, 1441, Philippines",Metropolitan Manila,14.689770249999999,120.97807237854214,1
Veterans Memorial Medical Center,"Veterans Memorial Medical Center, North Avenue, Bagong Pag-asa, Bago Bantay, 1st District, Quezon City, Metro Manila, 1100, Philippines",Metropolitan Manila,14.656373349999999,121.03981246339595,8
Victor R. Potenciano Medical Center,"Victor R. Potenciano Medical Center, 163, Sierra Madre, Highway Hills, Mandaluyong, Metro Manila, 1550, Philippines",Metropolitan Manila,14.57698865,121.05002705834283,9
West Metro Medical Center,"West Metro Medical Center, Veterans Avenue Extension, Aurora Village, Layag-Layag, Zamboanga, Zamboanga City, Zamboanga Peninsula, 7000, Philippines",Zamboanga del Sur,6.9235050000000005,122.079362252516,1
